age, Job_Category,Level,Nb_Years_School,Ed,marital-status,occupation,sex,gains,losses,hours-per-week,Orig_Country,Output_Class
26, Private, Bachelors,17,13, Never-married, Tech-support, Male,0,0,40, USA, Low
42, Private, HS-grad,13,9, Married-civ-spouse, Transport-moving, Male,0,0,60, USA, Low
24, Private, Few Years College,14,10, Never-married, Craft-repair, Male,0,0,45, USA, Low
26, Private, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,56, USA, Low
19, Local-gov, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,25, USA, Low
21, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,33, USA, Low
43, State-gov, Doctorate,20,16, Married-civ-spouse, Prof-specialty, Female,0,0,40, USA, High
20, Private, Few Years College,14,10, Never-married, Transport-moving, Male,0,0,40, USA, Low
47, Private, HS-grad,13,9, Divorced, Other-service, Female,0,0,40, USA, Low
62, Local-gov, Masters,18,14, Married-civ-spouse, Prof-specialty, Male,7688,0,40, USA, High
46, Self-emp-inc, Few Years College,14,10, Married-civ-spouse, Craft-repair, Male,5013,0,60, USA, Low
54, Local-gov, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,1902,40, USA, High
43, Self-emp-inc, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,0,0,60, USA, Low
34, Private, HS-grad,13,9, Separated, Craft-repair, Male,0,0,80, USA, Low
47, Local-gov, Assoc-acdm,16,12, Never-married, Exec-managerial, Female,0,0,40, USA, Low
58, Private, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,0,0,40, USA, High
20, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,35, USA, Low
26, Private, Assoc-voc,15,11, Never-married, Tech-support, Male,14344,0,40, USA, High
51, Local-gov, Masters,18,14, Married-civ-spouse, Prof-specialty, Male,0,0,35, USA, Low
53, Private, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Male,0,1887,40, USA, High
53, State-gov, Assoc-acdm,16,12, Married-civ-spouse, Prof-specialty, Female,0,0,37, USA, Low
68, ?, HS-grad,13,9, Widowed, ?, Female,0,0,32, USA, Low
46, Local-gov, Bachelors,17,13, Divorced, Prof-specialty, Female,0,0,45, USA, Low
32, Self-emp-inc, 11th,11,7, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
42, Private, Bachelors,17,13, Married-civ-spouse, Transport-moving, Male,0,0,40, USA, Low
28, Private, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,40, USA, Low
67, Self-emp-not-inc, Assoc-acdm,16,12, Married-civ-spouse, Exec-managerial, Male,0,0,50, USA, Low
23, Private, Few Years College,14,10, Never-married, Sales, Male,0,0,50, USA, Low
27, Private, 10th,10,6, Divorced, Handlers-cleaners, Male,0,0,40, USA, Low
65, Private, HS-grad,13,9, Married-civ-spouse, Handlers-cleaners, Male,0,0,25, USA, Low
22, Self-emp-inc, Bachelors,17,13, Never-married, Sales, Male,0,0,50, USA, Low
27, Private, Few Years College,14,10, Never-married, Handlers-cleaners, Male,0,0,30, Mexico, Low
30, Private, 11th,11,7, Never-married, Adm-clerical, Male,0,0,40, USA, Low
44, Private, Bachelors,17,13, Divorced, Other-service, Female,0,0,65, USA, Low
35, Private, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,0,0,40, USA, Low
27, Private, HS-grad,13,9, Married-civ-spouse, Other-service, Male,0,0,40, USA, Low
36, Local-gov, Bachelors,17,13, Divorced, Other-service, Male,0,0,40, USA, Low
42, State-gov, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,0,0,45, USA, Low
32, Private, Few Years College,14,10, Never-married, Other-service, Male,0,0,34, USA, Low
53, Private, 1st-4th,6,2, Married-civ-spouse, Farming-fishing, Male,0,0,45, USA, Low
41, Private, Few Years College,14,10, Divorced, Adm-clerical, Female,0,0,40, USA, Low
65, Private, 7th-8th,8,4, Widowed, Priv-house-serv, Female,0,1668,31, USA, Low
22, State-gov, Few Years College,14,10, Never-married, Other-service, Female,0,0,60, USA, Low
65, Local-gov, HS-grad,13,9, Divorced, Adm-clerical, Female,0,0,16, USA, High
21, Private, Few Years College,14,10, Married-civ-spouse, Sales, Male,0,0,40, USA, Low
28, Private, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Male,0,0,65, USA, Low
24, Private, Bachelors,17,13, Never-married, Sales, Female,0,0,50, South, Low
39, Private, Masters,18,14, Married-civ-spouse, Tech-support, Male,15024,0,50, USA, High
52, Private, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,0,0,40, USA, High
18, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,12, El-Salvador, Low
62, Private, 10th,10,6, Widowed, Adm-clerical, Female,0,0,40, USA, Low
28, Self-emp-not-inc, 10th,10,6, Never-married, Sales, Male,0,0,80, USA, Low
41, Private, Bachelors,17,13, Never-married, Other-service, Female,0,0,40, USA, Low
28, Private, 9th,9,5, Never-married, Transport-moving, Male,6849,0,35, USA, Low
43, Private, Few Years College,14,10, Married-civ-spouse, Transport-moving, Male,3103,0,70, USA, High
61, State-gov, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, High
26, Private, Masters,18,14, Never-married, Prof-specialty, Female,0,0,10, USA, Low
34, Private, Bachelors,17,13, Never-married, Exec-managerial, Male,0,0,40, USA, Low
21, Local-gov, HS-grad,13,9, Never-married, Adm-clerical, Male,0,0,20, USA, Low
60, Private, HS-grad,13,9, Separated, Adm-clerical, Female,0,0,20, USA, Low
28, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,35, USA, Low
32, Self-emp-not-inc, Assoc-voc,15,11, Married-civ-spouse, Farming-fishing, Male,7298,0,70, USA, High
55, ?, 7th-8th,8,4, Married-civ-spouse, ?, Male,2105,0,40, USA, Low
51, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
48, Private, 11th,11,7, Married-civ-spouse, Machine-op-inspct, Male,0,0,56, USA, Low
37, Private, HS-grad,13,9, Divorced, Tech-support, Female,1151,0,40, USA, Low
40, Private, Few Years College,14,10, Divorced, Craft-repair, Female,0,0,40, England, Low
44, Private, 7th-8th,8,4, Married-civ-spouse, Craft-repair, Male,0,0,40, Philippines, Low
27, Private, Few Years College,14,10, Never-married, Handlers-cleaners, Male,0,0,40, USA, Low
55, Self-emp-not-inc, Assoc-voc,15,11, Married-civ-spouse, Sales, Female,0,0,30, USA, Low
40, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Female,0,0,24, USA, High
30, Private, Bachelors,17,13, Never-married, Craft-repair, Male,0,0,70, USA, Low
36, Private, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,40, USA, Low
74, Private, 7th-8th,8,4, Widowed, Other-service, Female,0,0,40, USA, Low
34, Federal-gov, Assoc-acdm,16,12, Married-civ-spouse, Adm-clerical, Male,0,0,40, USA, Low
48, Private, Assoc-voc,15,11, Married-civ-spouse, Craft-repair, Male,0,0,42, USA, Low
44, Private, 5th-6th,7,3, Married-civ-spouse, Transport-moving, Male,0,0,40, Mexico, Low
48, Private, HS-grad,13,9, Widowed, Exec-managerial, Male,14084,0,45, USA, High
25, Private, HS-grad,13,9, Never-married, Other-service, Male,0,0,65, USA, Low
33, Private, Bachelors,17,13, Married-civ-spouse, Adm-clerical, Female,0,0,40, USA, Low
49, Private, Bachelors,17,13, Never-married, Adm-clerical, Female,0,0,40, USA, High
75, ?, HS-grad,13,9, Widowed, ?, Female,0,0,20, USA, Low
33, Self-emp-not-inc, Bachelors,17,13, Never-married, Prof-specialty, Male,0,1974,30, USA, Low
29, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,50, USA, High
47, Federal-gov, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,0,1977,55, USA, High
33, Private, HS-grad,13,9, Never-married, Machine-op-inspct, Male,0,0,44, USA, Low
65, Private, Prof-school,19,15, Married-spouse-absent, Craft-repair, Male,0,0,48, Hungary, High
17, Private, 10th,10,6, Never-married, Handlers-cleaners, Male,0,0,15, USA, Low
58, Private, Bachelors,17,13, Widowed, Craft-repair, Male,0,0,40, USA, High
55, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,40, USA, Low
37, Self-emp-not-inc, Few Years College,14,10, Never-married, Sales, Male,0,0,48, USA, Low
60, Private, HS-grad,13,9, Married-civ-spouse, Transport-moving, Male,0,0,45, USA, Low
25, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,0,0,45, USA, Low
34, Private, HS-grad,13,9, Divorced, Adm-clerical, Female,0,0,40, USA, Low
20, ?, Few Years College,14,10, Never-married, ?, Male,0,0,20, USA, Low
26, Private, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,0,0,72, USA, Low
34, Private, HS-grad,13,9, Separated, Machine-op-inspct, Female,0,0,40, USA, Low
48, State-gov, Bachelors,17,13, Divorced, Exec-managerial, Male,0,0,40, USA, Low
34, Private, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,40, USA, Low
31, Self-emp-inc, Few Years College,14,10, Never-married, Sales, Male,0,0,40, ?, Low
25, Private, Assoc-voc,15,11, Never-married, Adm-clerical, Female,0,0,42, USA, Low
20, Private, Few Years College,14,10, Never-married, Sales, Male,0,0,15, USA, Low
38, Private, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Female,0,0,50, USA, High
69, Private, Masters,18,14, Divorced, Prof-specialty, Female,0,0,40, USA, Low
27, Local-gov, HS-grad,13,9, Married-spouse-absent, Sales, Female,0,0,40, USA, Low
32, Private, Few Years College,14,10, Never-married, Exec-managerial, Male,0,0,40, USA, Low
65, Private, HS-grad,13,9, Never-married, Adm-clerical, Female,2993,0,40, USA, Low
22, Private, Bachelors,17,13, Never-married, Sales, Female,0,0,8, USA, Low
25, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,40, Thailand, Low
40, Private, HS-grad,13,9, Divorced, Sales, Female,0,0,25, USA, Low
29, Local-gov, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,55, USA, High
33, Private, Bachelors,17,13, Divorced, Exec-managerial, Female,0,0,40, USA, Low
60, Private, 5th-6th,7,3, Widowed, Sales, Female,0,0,40, Italy, Low
28, Federal-gov, HS-grad,13,9, Married-civ-spouse, Adm-clerical, Male,0,0,40, USA, Low
28, Private, HS-grad,13,9, Divorced, Exec-managerial, Female,0,0,39, USA, Low
72, Self-emp-not-inc, 7th-8th,8,4, Married-civ-spouse, Other-service, Male,2290,0,45, USA, Low
35, Private, Bachelors,17,13, Married-civ-spouse, Sales, Male,7298,0,48, USA, High
33, State-gov, Few Years College,14,10, Divorced, Other-service, Female,0,0,99, USA, High
36, Private, Masters,18,14, Never-married, Prof-specialty, Male,0,0,45, USA, Low
18, Private, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,32, USA, Low
38, Self-emp-inc, Few Years College,14,10, Married-civ-spouse, Other-service, Female,0,0,20, USA, High
48, Private, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,0,0,40, USA, High
22, Private, Assoc-voc,15,11, Never-married, Sales, Female,0,0,20, USA, Low
29, Private, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Female,0,0,40, USA, High
81, Self-emp-not-inc, Bachelors,17,13, Widowed, Farming-fishing, Male,0,0,30, USA, Low
19, Private, HS-grad,13,9, Never-married, Other-service, Male,0,0,25, USA, Low
39, Self-emp-not-inc, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,0,0,60, USA, High
20, ?, HS-grad,13,9, Never-married, ?, Male,0,0,60, South, Low
41, Federal-gov, Assoc-acdm,16,12, Married-civ-spouse, Protective-serv, Male,0,0,92, USA, Low
50, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, High
54, Private, HS-grad,13,9, Widowed, Sales, Female,0,0,46, USA, Low
18, ?, 11th,11,7, Never-married, ?, Male,0,0,20, Mexico, Low
18, Private, 11th,11,7, Never-married, Sales, Female,0,0,10, USA, Low
54, Private, HS-grad,13,9, Divorced, Transport-moving, Male,0,0,40, USA, Low
47, Private, Few Years College,14,10, Married-spouse-absent, Exec-managerial, Male,0,0,40, ?, Low
21, Private, Few Years College,14,10, Never-married, Sales, Female,0,0,20, USA, Low
22, Private, 9th,9,5, Never-married, Sales, Female,0,0,40, Mexico, Low
19, Local-gov, Few Years College,14,10, Never-married, Machine-op-inspct, Male,0,0,40, USA, Low
37, Private, Masters,18,14, Married-civ-spouse, Prof-specialty, Female,0,0,8, USA, High
37, Private, 11th,11,7, Married-civ-spouse, Craft-repair, Male,0,0,25, USA, Low
31, Private, Masters,18,14, Married-civ-spouse, Prof-specialty, Male,0,0,45, USA, High
31, Self-emp-not-inc, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,50, USA, Low
60, Private, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,0,0,50, USA, Low
43, Private, Bachelors,17,13, Never-married, Machine-op-inspct, Male,0,0,40, USA, Low
65, Private, HS-grad,13,9, Widowed, Priv-house-serv, Female,0,0,10, USA, Low
33, Federal-gov, Masters,18,14, Never-married, Prof-specialty, Male,0,0,40, ?, Low
32, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,40, USA, Low
36, Private, HS-grad,13,9, Divorced, Other-service, Female,0,0,40, Haiti, Low
53, Private, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,0,0,50, USA, High
50, Private, HS-grad,13,9, Divorced, Craft-repair, Male,0,0,40, USA, Low
23, Private, 11th,11,7, Never-married, Craft-repair, Male,0,0,30, USA, Low
60, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,38, USA, Low
32, Private, Masters,18,14, Never-married, Prof-specialty, Female,0,1741,40, USA, Low
36, Private, Masters,18,14, Married-civ-spouse, Prof-specialty, Male,0,0,43, USA, High
20, Private, Few Years College,14,10, Never-married, Prof-specialty, Male,0,0,40, USA, Low
39, Private, HS-grad,13,9, Divorced, Adm-clerical, Female,0,0,40, USA, Low
35, ?, HS-grad,13,9, Never-married, ?, Male,0,0,24, USA, Low
29, Private, HS-grad,13,9, Divorced, Adm-clerical, Female,0,0,30, USA, Low
52, Private, Bachelors,17,13, Never-married, Sales, Female,0,0,25, USA, Low
41, Private, HS-grad,13,9, Divorced, Sales, Female,0,0,40, USA, Low
28, Private, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,0,0,50, USA, High
52, ?, Bachelors,17,13, Widowed, ?, Female,0,2205,8, USA, Low
40, Private, Assoc-voc,15,11, Divorced, Exec-managerial, Female,0,0,40, USA, Low
40, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,50, USA, Low
22, Private, HS-grad,13,9, Never-married, Other-service, Male,0,0,18, USA, Low
69, Private, HS-grad,13,9, Widowed, Tech-support, Female,0,0,8, USA, Low
28, Private, Few Years College,14,10, Never-married, Tech-support, Female,0,0,38, USA, Low
57, Private, HS-grad,13,9, Divorced, Craft-repair, Female,0,1980,44, USA, Low
54, Federal-gov, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,5178,0,40, USA, High
41, Local-gov, Bachelors,17,13, Married-civ-spouse, Sales, Male,0,0,40, USA, Low
28, Private, HS-grad,13,9, Never-married, Adm-clerical, Female,0,0,40, USA, Low
39, Private, HS-grad,13,9, Married-civ-spouse, Farming-fishing, Male,0,0,40, USA, Low
39, Self-emp-inc, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,3137,0,42, USA, Low
57, Federal-gov, Few Years College,14,10, Married-civ-spouse, Adm-clerical, Male,7688,0,45, USA, High
18, Private, HS-grad,13,9, Never-married, Sales, Male,0,0,15, USA, Low
53, Private, 11th,11,7, Married-civ-spouse, Machine-op-inspct, Male,0,0,40, USA, Low
44, Private, HS-grad,13,9, Divorced, Sales, Female,0,0,40, USA, Low
28, Private, 5th-6th,7,3, Never-married, Farming-fishing, Male,0,0,40, Mexico, Low
61, Private, 9th,9,5, Married-civ-spouse, Machine-op-inspct, Male,0,2051,40, USA, Low
45, Private, Few Years College,14,10, Married-civ-spouse, Transport-moving, Male,0,0,40, USA, Low
52, Self-emp-not-inc, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,60, USA, Low
57, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,40, USA, High
40, Private, HS-grad,13,9, Never-married, Adm-clerical, Female,0,0,40, USA, Low
72, Self-emp-inc, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Male,0,2377,35, USA, High
23, Private, Bachelors,17,13, Never-married, Sales, Female,0,0,20, USA, Low
46, Private, HS-grad,13,9, Separated, Sales, Female,0,0,36, USA, Low
51, Private, HS-grad,13,9, Divorced, Handlers-cleaners, Female,0,0,20, USA, Low
46, Private, Few Years College,14,10, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, High
43, Private, Assoc-acdm,16,12, Never-married, Craft-repair, Female,0,0,40, USA, Low
42, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, High
53, Local-gov, Few Years College,14,10, Married-civ-spouse, Adm-clerical, Male,0,0,40, USA, High
31, Private, HS-grad,13,9, Divorced, Sales, Female,0,0,40, USA, Low
35, Private, Bachelors,17,13, Married-civ-spouse, Sales, Male,15024,0,45, USA, High
59, Private, HS-grad,13,9, Divorced, Sales, Female,0,0,40, USA, Low
38, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
19, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,20, USA, Low
25, Private, Masters,18,14, Never-married, Exec-managerial, Male,0,0,45, USA, Low
26, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,0,0,40, USA, Low
51, State-gov, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, Low
28, ?, Bachelors,17,13, Never-married, ?, Male,0,0,30, ?, Low
33, Private, HS-grad,13,9, Married-civ-spouse, Other-service, Female,0,0,30, USA, Low
25, Private, HS-grad,13,9, Never-married, Craft-repair, Male,2174,0,40, USA, Low
23, ?, Assoc-voc,15,11, Never-married, ?, Male,0,0,40, USA, Low
35, State-gov, Assoc-voc,15,11, Never-married, Craft-repair, Male,0,0,40, USA, Low
41, Private, Few Years College,14,10, Married-civ-spouse, Craft-repair, Male,0,0,45, USA, Low
43, Self-emp-not-inc, Bachelors,17,13, Never-married, Sales, Male,0,0,35, USA, Low
49, Self-emp-inc, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, High
45, Private, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Male,99999,0,50, USA, High
49, Federal-gov, Bachelors,17,13, Married-civ-spouse, Adm-clerical, Male,0,0,40, USA, High
38, Private, Masters,18,14, Divorced, Exec-managerial, Female,0,0,40, USA, Low
39, Private, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,7688,0,45, USA, High
39, Self-emp-inc, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Male,0,0,31, Cuba, High
26, Private, 10th,10,6, Divorced, Other-service, Female,0,0,40, USA, Low
17, Private, 10th,10,6, Never-married, Handlers-cleaners, Male,0,0,12, USA, Low
26, Federal-gov, HS-grad,13,9, Never-married, Adm-clerical, Male,0,0,40, USA, Low
71, Local-gov, HS-grad,13,9, Divorced, Exec-managerial, Female,0,0,3, USA, Low
27, Private, Few Years College,14,10, Never-married, Sales, Male,0,0,42, USA, Low
34, Private, Few Years College,14,10, Never-married, Craft-repair, Male,0,0,40, USA, Low
35, Local-gov, HS-grad,13,9, Never-married, Sales, Male,0,0,38, USA, Low
36, Self-emp-not-inc, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
39, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, High
41, Federal-gov, HS-grad,13,9, Divorced, Protective-serv, Male,1506,0,40, USA, Low
47, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, High
36, Private, HS-grad,13,9, Married-civ-spouse, Adm-clerical, Male,0,0,50, USA, Low
43, Self-emp-not-inc, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,35, USA, Low
39, Private, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,0,0,50, USA, High
35, Private, HS-grad,13,9, Never-married, Exec-managerial, Female,0,0,40, USA, Low
22, Private, Bachelors,17,13, Never-married, Prof-specialty, Male,0,0,18, USA, Low
45, Private, Masters,18,14, Married-civ-spouse, Exec-managerial, Male,0,1902,50, USA, High
33, Private, Few Years College,14,10, Separated, Craft-repair, Male,0,0,60, USA, Low
21, Local-gov, HS-grad,13,9, Never-married, Prof-specialty, Male,0,0,40, USA, Low
37, Federal-gov, Assoc-acdm,16,12, Divorced, Exec-managerial, Female,0,0,40, USA, Low
30, Self-emp-not-inc, HS-grad,13,9, Never-married, Sales, Male,0,0,80, USA, Low
47, State-gov, HS-grad,13,9, Married-civ-spouse, Protective-serv, Male,0,0,40, USA, Low
45, Private, Bachelors,17,13, Married-civ-spouse, Other-service, Male,0,0,40, USA, Low
25, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,25, USA, Low
47, Self-emp-inc, Few Years College,14,10, Married-civ-spouse, Sales, Male,0,0,45, USA, High
68, Self-emp-not-inc, Few Years College,14,10, Widowed, Adm-clerical, Male,0,0,40, USA, Low
27, Private, HS-grad,13,9, Never-married, Prof-specialty, Male,0,2444,40, USA, High
42, Private, 5th-6th,7,3, Married-civ-spouse, Craft-repair, Male,3103,0,40, Mexico, High
36, ?, HS-grad,13,9, Divorced, ?, Female,0,0,40, USA, Low
28, Private, Bachelors,17,13, Never-married, Prof-specialty, Male,0,1564,50, USA, High
61, Private, 5th-6th,7,3, Married-civ-spouse, Transport-moving, Male,2290,0,40, USA, Low
33, Private, HS-grad,13,9, Separated, Other-service, Female,0,0,40, Germany, Low
23, Private, HS-grad,13,9, Never-married, Adm-clerical, Female,0,0,45, USA, Low
40, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
25, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,40, USA, Low
45, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,60, USA, Low
23, Private, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,40, USA, Low
30, Private, Bachelors,17,13, Never-married, Prof-specialty, Male,0,0,50, USA, Low
33, Federal-gov, Few Years College,14,10, Never-married, Exec-managerial, Female,0,0,40, USA, Low
21, Private, HS-grad,13,9, Widowed, Craft-repair, Male,0,0,40, USA, Low
28, Private, 9th,9,5, Married-civ-spouse, Machine-op-inspct, Male,0,0,40, USA, Low
42, Private, HS-grad,13,9, Divorced, Priv-house-serv, Female,0,0,60, Columbia, Low
43, State-gov, Few Years College,14,10, Married-civ-spouse, Transport-moving, Male,0,0,84, USA, Low
50, Private, Bachelors,17,13, Married-civ-spouse, Sales, Male,7688,0,40, USA, High
48, Private, Few Years College,14,10, Divorced, Exec-managerial, Male,0,0,50, USA, Low
49, Private, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,0,0,46, USA, High
28, Private, Bachelors,17,13, Never-married, Prof-specialty, Female,0,1408,50, Hong, Low
36, Private, Bachelors,17,13, Married-civ-spouse, Sales, Male,0,1902,40, USA, High
28, Local-gov, Few Years College,14,10, Married-civ-spouse, Protective-serv, Male,0,0,50, USA, Low
61, Self-emp-inc, Prof-school,19,15, Married-civ-spouse, Exec-managerial, Male,99999,0,40, USA, High
25, State-gov, Few Years College,14,10, Married-civ-spouse, Protective-serv, Male,0,0,40, USA, Low
48, Private, 9th,9,5, Divorced, Other-service, Female,0,0,40, USA, Low
36, Private, Few Years College,14,10, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, High
46, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,45, ?, Low
25, Private, HS-grad,13,9, Never-married, Machine-op-inspct, Male,0,0,40, USA, Low
36, ?, HS-grad,13,9, Never-married, ?, Female,0,0,40, USA, Low
45, Private, 5th-6th,7,3, Never-married, Machine-op-inspct, Male,0,0,40, USA, Low
18, Private, 11th,11,7, Never-married, Other-service, Female,0,0,21, USA, Low
28, Private, Few Years College,14,10, Never-married, Handlers-cleaners, Male,0,0,35, USA, Low
39, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,7298,0,50, USA, High
33, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,50, USA, High
28, State-gov, Few Years College,14,10, Separated, Adm-clerical, Female,0,0,40, USA, Low
48, Private, Few Years College,14,10, Divorced, Craft-repair, Male,15020,0,48, USA, High
21, Private, HS-grad,13,9, Never-married, Farming-fishing, Male,0,0,50, USA, Low
26, State-gov, Few Years College,14,10, Never-married, Exec-managerial, Male,0,0,40, USA, Low
40, Private, Bachelors,17,13, Divorced, Exec-managerial, Male,0,0,40, USA, Low
63, Private, Masters,18,14, Married-civ-spouse, Prof-specialty, Male,5013,0,45, USA, Low
45, Private, Masters,18,14, Married-civ-spouse, Sales, Male,0,0,50, USA, High
22, Private, Few Years College,14,10, Never-married, Tech-support, Male,0,0,40, USA, Low
52, Self-emp-not-inc, HS-grad,13,9, Divorced, Craft-repair, Male,0,0,44, USA, Low
57, Self-emp-not-inc, HS-grad,13,9, Married-civ-spouse, Other-service, Female,15024,0,40, USA, High
38, Private, Masters,18,14, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, Low
46, Self-emp-not-inc, Bachelors,17,13, Married-civ-spouse, Sales, Male,0,1977,45, USA, High
52, Private, Masters,18,14, Divorced, Prof-specialty, Female,0,2547,40, USA, High
55, Self-emp-inc, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Male,0,0,55, USA, Low
21, Private, Few Years College,14,10, Never-married, Sales, Male,0,0,40, USA, Low
30, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,50, USA, Low
17, Private, 12th,12,8, Never-married, Sales, Female,0,0,15, USA, Low
57, Private, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,0,0,45, USA, High
30, Private, Few Years College,14,10, Never-married, Exec-managerial, Female,0,0,40, USA, Low
48, Self-emp-inc, Few Years College,14,10, Married-civ-spouse, Farming-fishing, Male,0,0,50, USA, Low
24, Private, HS-grad,13,9, Never-married, Handlers-cleaners, Male,0,0,50, USA, Low
45, ?, 10th,10,6, Divorced, ?, Female,0,0,40, USA, Low
40, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,0,0,40, USA, Low
34, Local-gov, HS-grad,13,9, Divorced, Other-service, Female,0,0,20, USA, Low
35, Private, Masters,18,14, Married-spouse-absent, Protective-serv, Male,0,0,40, USA, Low
24, Private, Bachelors,17,13, Never-married, Tech-support, Female,0,0,40, USA, Low
47, Local-gov, Masters,18,14, Married-civ-spouse, Exec-managerial, Male,0,0,37, USA, High
21, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,25, USA, Low
30, Private, Assoc-acdm,16,12, Never-married, Sales, Male,0,0,40, USA, Low
52, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,50, ?, Low
37, Private, HS-grad,13,9, Never-married, Sales, Male,0,0,47, USA, Low
24, Private, Assoc-voc,15,11, Never-married, Sales, Male,0,0,30, USA, Low
41, Private, Few Years College,14,10, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, High
61, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,1902,40, USA, High
37, Private, HS-grad,13,9, Married-civ-spouse, Handlers-cleaners, Male,0,2002,40, USA, Low
39, Private, HS-grad,13,9, Divorced, Transport-moving, Male,0,0,60, USA, Low
